,treatment,categoryOrValue,range,IV
0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
1,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
2,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
3,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
4,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/positionInGame
5,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/positionInGame
6,https://data.cooperationdatabank.org/id/ENG00008_2.1.1,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/vocab/class/ExpectationsLevel,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel
7,https://data.cooperationdatabank.org/id/ENG00008_2.1.2,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/class/ExpectationsLevel,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel
8,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
9,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
10,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
11,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/class/Sequentiality,https://data.cooperationdatabank.org/vocab/prop/sequentiality
12,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/positionInGame
13,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,2,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/positionInGame
14,https://data.cooperationdatabank.org/id/ENG00015_1.1.1,https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/vocab/class/ReligiousLevel,https://data.cooperationdatabank.org/vocab/prop/religiousLevel
15,https://data.cooperationdatabank.org/id/ENG00015_1.1.2,https://data.cooperationdatabank.org/id/religiouslevel/low,https://data.cooperationdatabank.org/vocab/class/ReligiousLevel,https://data.cooperationdatabank.org/vocab/prop/religiousLevel
16,https://data.cooperationdatabank.org/id/ENG00018_1.3.1,https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/vocab/class/ReligiousLevel,https://data.cooperationdatabank.org/vocab/prop/religiousLevel
17,https://data.cooperationdatabank.org/id/ENG00018_1.3.2,https://data.cooperationdatabank.org/id/religiouslevel/low,https://data.cooperationdatabank.org/vocab/class/ReligiousLevel,https://data.cooperationdatabank.org/vocab/prop/religiousLevel
18,https://data.cooperationdatabank.org/id/ENG00026_1.1.1,1,http://www.w3.org/2001/XMLSchema#integer,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation
