,obs,dependent,ES,N,t1,t2,study,design,n1,n2,sd1,sd2,ESLower,ESUpper,paper,doi,independentProperties,SE,categoryT1,categoryT2,IV_new,ESType
0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.24393,57.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,28.0,29.0,3.36,3.7,0.676655,1.8112,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],0.2644928647926873,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/sequentiality_H1,LargeMediumPositiveES
1,https://data.cooperationdatabank.org/id/ENG00008_1.4.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.08443,57.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,28.0,29.0,3.36,4.08,0.528299,1.64057,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],0.2640413430949947,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/sequentiality_H1,LargeMediumPositiveES
2,https://data.cooperationdatabank.org/id/ENG00008_1.4.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0872995,58.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,29.0,29.0,3.7,4.08,-0.602256,0.42765699999999995,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/positionInGame'],0.26261286571944514,1,2,https://data.cooperationdatabank.org/vocab/prop/positionInGame_H1,NullFinding
3,https://data.cooperationdatabank.org/id/ENG00008_2.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.32408200000000004,192.0,https://data.cooperationdatabank.org/id/ENG00008_2.1.1,https://data.cooperationdatabank.org/id/ENG00008_2.1.2,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,96.0,3.2880000000000003,4.281000000000001,-0.60883,-0.0393351,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/expectationsLevel'],0.14433756729740646,https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high,https://data.cooperationdatabank.org/vocab/prop/expectationsLevel_H1,SmallNegativeES
4,https://data.cooperationdatabank.org/id/ENG00008_2.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.315689,144.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,48.0,3.91,3.52,-0.032699599999999995,0.664078,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],0.17067115209228784,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/sequentiality_H1,SmallPositiveES
5,https://data.cooperationdatabank.org/id/ENG00008_2.2.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.28525700000000004,144.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,48.0,3.91,3.745,-0.0627815,0.633296,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],0.17423824972471808,https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking,https://data.cooperationdatabank.org/vocab/prop/sequentiality_H1,SmallPositiveES
6,https://data.cooperationdatabank.org/id/ENG00008_2.2.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0261403,96.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,48.0,48.0,3.52,3.745,-0.426233,0.37395300000000004,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/positionInGame'],0.2041241452319315,1,2,https://data.cooperationdatabank.org/vocab/prop/positionInGame_H1,NullFinding
7,https://data.cooperationdatabank.org/id/ENG00015_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.525129,102.0,https://data.cooperationdatabank.org/id/ENG00015_1.1.1,https://data.cooperationdatabank.org/id/ENG00015_1.1.2,https://data.cooperationdatabank.org/id/ENG00015_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,42.0,60.0,21.76,31.38,0.124279,0.9259780000000001,https://data.cooperationdatabank.org/id/ENG00015,http://dx.doi.org/10.1111/j.1468-5906.2009.01452.x,['https://data.cooperationdatabank.org/vocab/prop/religiousLevel'],0.1889924976887502,https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/id/religiouslevel/low,https://data.cooperationdatabank.org/vocab/prop/religiousLevel_H1,LargeMediumPositiveES
8,https://data.cooperationdatabank.org/id/ENG00018_1.3.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.06337580000000001,145.0,https://data.cooperationdatabank.org/id/ENG00018_1.3.1,https://data.cooperationdatabank.org/id/ENG00018_1.3.2,https://data.cooperationdatabank.org/id/ENG00018_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,83.0,62.0,1.62,1.88,-0.392458,0.265706,https://data.cooperationdatabank.org/id/ENG00018,http://dx.doi.org/10.1111/jssr.12045,['https://data.cooperationdatabank.org/vocab/prop/religiousLevel'],0.17151830818231972,https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/id/religiouslevel/low,https://data.cooperationdatabank.org/vocab/prop/religiousLevel_H1,NullFinding
9,https://data.cooperationdatabank.org/id/ENG00026_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.147248,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.1.1,https://data.cooperationdatabank.org/id/ENG00026_1.1.2,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.297,1.35,-0.393572,0.0990764,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],0.3608494224254126,1,2,https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation_H1,NullFinding
