,obs,dependent,ES,N,t1,t2,study,design,n1,n2,sd1,sd2,ESLower,ESUpper,paper,doi,independentProperties,categoryT1,categoryT2
0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.24393,57.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,28.0,29.0,3.36,3.7,0.676655,1.8112,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking
1,https://data.cooperationdatabank.org/id/ENG00008_1.4.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,1.08443,57.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.1,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,28.0,29.0,3.36,4.08,0.528299,1.64057,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking
2,https://data.cooperationdatabank.org/id/ENG00008_1.4.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0872995,58.0,https://data.cooperationdatabank.org/id/ENG00008_1.4.2,https://data.cooperationdatabank.org/id/ENG00008_1.4.3,https://data.cooperationdatabank.org/id/ENG00008_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,29.0,29.0,3.7,4.08,-0.602256,0.427657,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/positionInGame'],1,2
3,https://data.cooperationdatabank.org/id/ENG00008_2.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.324082,192.0,https://data.cooperationdatabank.org/id/ENG00008_2.1.1,https://data.cooperationdatabank.org/id/ENG00008_2.1.2,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,96.0,3.288,4.281,-0.60883,-0.0393351,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/expectationsLevel'],https://data.cooperationdatabank.org/id/expectationslevel/low,https://data.cooperationdatabank.org/id/expectationslevel/high
4,https://data.cooperationdatabank.org/id/ENG00008_2.2.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.315689,144.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,48.0,3.91,3.52,-0.0326996,0.664078,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking
5,https://data.cooperationdatabank.org/id/ENG00008_2.2.1.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.285257,144.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.1,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,96.0,48.0,3.91,3.745,-0.0627815,0.633296,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/sequentiality'],https://data.cooperationdatabank.org/id/sequentiality/simultaneous,https://data.cooperationdatabank.org/id/sequentiality/sequential_turn-taking
6,https://data.cooperationdatabank.org/id/ENG00008_2.2.2.3.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0261403,96.0,https://data.cooperationdatabank.org/id/ENG00008_2.2.2,https://data.cooperationdatabank.org/id/ENG00008_2.2.3,https://data.cooperationdatabank.org/id/ENG00008_2,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,48.0,48.0,3.52,3.745,-0.426233,0.373953,https://data.cooperationdatabank.org/id/ENG00008,http://dx.doi.org/10.1016/j.jesp.2004.09.004,['https://data.cooperationdatabank.org/vocab/prop/positionInGame'],1,2
7,https://data.cooperationdatabank.org/id/ENG00015_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,0.525129,102.0,https://data.cooperationdatabank.org/id/ENG00015_1.1.1,https://data.cooperationdatabank.org/id/ENG00015_1.1.2,https://data.cooperationdatabank.org/id/ENG00015_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,42.0,60.0,21.76,31.38,0.124279,0.925978,https://data.cooperationdatabank.org/id/ENG00015,http://dx.doi.org/10.1111/j.1468-5906.2009.01452.x,['https://data.cooperationdatabank.org/vocab/prop/religiousLevel'],https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/id/religiouslevel/low
8,https://data.cooperationdatabank.org/id/ENG00018_1.3.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.0633758,145.0,https://data.cooperationdatabank.org/id/ENG00018_1.3.1,https://data.cooperationdatabank.org/id/ENG00018_1.3.2,https://data.cooperationdatabank.org/id/ENG00018_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/1,83.0,62.0,1.62,1.88,-0.392458,0.265706,https://data.cooperationdatabank.org/id/ENG00018,http://dx.doi.org/10.1111/jssr.12045,['https://data.cooperationdatabank.org/vocab/prop/religiousLevel'],https://data.cooperationdatabank.org/id/religiouslevel/high,https://data.cooperationdatabank.org/id/religiouslevel/low
9,https://data.cooperationdatabank.org/id/ENG00026_1.1.1.2.d,https://data.cooperationdatabank.org/id/dependentvariable/contributions,-0.147248,8.0,https://data.cooperationdatabank.org/id/ENG00026_1.1.1,https://data.cooperationdatabank.org/id/ENG00026_1.1.2,https://data.cooperationdatabank.org/id/ENG00026_1,https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/2,8.0,8.0,1.297,1.35,-0.393572,0.0990764,https://data.cooperationdatabank.org/id/ENG00026,http://dx.doi.org/10.1080/17565529.2016.1174664,['https://data.cooperationdatabank.org/vocab/prop/blockOfCooperation'],1,2
